size,thickness (in.),I.D. (in.),O.D. (in.)
122,0.103,1.112,1.318
123,0.103,1.174,1.38
124,0.103,1.237,1.443
125,0.103,1.299,1.505
126,0.103,1.362,1.568
127,0.103,1.424,1.63
128,0.103,1.487,1.693
129,0.103,1.549,1.755
130,0.103,1.612,1.818
131,0.103,1.674,1.88
132,0.103,1.737,1.943
133,0.103,1.799,2.005
134,0.103,1.862,2.068
135,0.103,1.925,2.131
136,0.103,1.987,2.193
137,0.103,2.05,2.256
138,0.103,2.112,2.318
139,0.103,2.175,2.381
140,0.103,2.237,2.443
141,0.103,2.3,2.506
142,0.103,2.362,2.568
143,0.103,2.425,2.631
144,0.103,2.487,2.693
145,0.103,2.55,2.756
146,0.103,2.612,2.818
147,0.103,2.675,2.881
148,0.103,2.737,2.943
149,0.103,2.8,3.006
150,0.103,2.862,3.068
151,0.103,2.987,3.193
152,0.103,3.237,3.443
153,0.103,3.487,3.693
154,0.103,3.737,3.943
155,0.103,3.987,4.193
156,0.103,4.237,4.443
157,0.103,4.487,4.693
158,0.103,4.737,4.943
159,0.103,4.987,5.193
160,0.103,5.237,5.443
161,0.103,5.487,5.693
162,0.103,5.737,5.943
163,0.103,5.987,6.193
164,0.103,6.237,6.443
165,0.103,6.487,6.693
166,0.103,6.737,6.943
167,0.103,6.987,7.193
168,0.103,7.237,7.443
169,0.103,7.487,7.693
170,0.103,7.737,7.943
171,0.103,7.987,8.193
172,0.103,8.237,8.443
173,0.103,8.487,8.693
174,0.103,8.737,8.943
175,0.103,8.987,9.193
176,0.103,9.237,9.443
177,0.103,9.487,9.693
178,0.103,9.737,9.943
201,0.139,0.171,0.449
202,0.139,0.234,0.512
203,0.139,0.296,0.574
204,0.139,0.359,0.637
205,0.139,0.421,0.699
206,0.139,0.484,0.762
207,0.139,0.546,0.824
208,0.139,0.609,0.887
209,0.139,0.671,0.949
210,0.139,0.734,1.012
211,0.139,0.796,1.074
212,0.139,0.859,1.137
213,0.139,0.921,1.199
214,0.139,0.984,1.262
215,0.139,1.046,1.324
216,0.139,1.109,1.387
217,0.139,1.171,1.449
218,0.139,1.234,1.512
219,0.139,1.296,1.574
220,0.139,1.359,1.637
221,0.139,1.421,1.699
222,0.139,1.484,1.762
223,0.139,1.609,1.887
224,0.139,1.734,2.012
225,0.139,1.859,2.137
226,0.139,1.984,2.262
227,0.139,2.109,2.387
228,0.139,2.234,2.512
229,0.139,2.359,2.637
230,0.139,2.484,2.762
231,0.139,2.609,2.887
232,0.139,2.734,3.012
233,0.139,2.859,3.137
234,0.139,2.984,3.262
235,0.139,3.109,3.387
236,0.139,3.234,3.512
237,0.139,3.359,3.637
238,0.139,3.484,3.762
239,0.139,3.609,3.887
240,0.139,3.734,4.012
241,0.139,3.859,4.137
242,0.139,3.984,4.262
243,0.139,4.109,4.387
244,0.139,4.234,4.512
245,0.139,4.359,4.637
246,0.139,4.484,4.762
247,0.139,4.609,4.887
248,0.139,4.734,5.012
249,0.139,4.859,5.137
250,0.139,4.984,5.262
251,0.139,5.109,5.387
252,0.139,5.234,5.512
253,0.139,5.359,5.637
254,0.139,5.484,5.762
255,0.139,5.609,5.887
256,0.139,5.734,6.012
257,0.139,5.859,6.137
258,0.139,5.984,6.262
259,0.139,6.234,6.512
260,0.139,6.484,6.762
261,0.139,6.734,7.012
262,0.139,6.984,7.262
263,0.139,7.234,7.512
264,0.139,7.484,7.762
265,0.139,7.734,8.012
266,0.139,7.984,8.262
267,0.139,8.234,8.512
268,0.139,8.484,8.762
269,0.139,8.734,9.012
270,0.139,8.984,9.262
271,0.139,9.234,9.512
272,0.139,9.484,9.762
273,0.139,9.734,10.012
274,0.139,9.984,10.262
275,0.139,10.484,10.762
276,0.139,10.984,11.262
277,0.139,11.484,11.762
278,0.139,11.984,12.262
279,0.139,12.984,13.262
280,0.139,13.984,14.262
281,0.139,14.984,15.262
282,0.139,15.955,16.233
283,0.139,16.955,17.233
284,0.139,17.955,18.233
309,0.21,0.412,0.832
310,0.21,0.475,0.895
311,0.21,0.537,0.957
312,0.21,0.6,1.02
313,0.21,0.662,1.082
314,0.21,0.725,1.145
315,0.21,0.787,1.207
316,0.21,0.85,1.27
317,0.21,0.912,1.332
318,0.21,0.975,1.395
319,0.21,1.037,1.457
320,0.21,1.1,1.52
321,0.21,1.162,1.582
322,0.21,1.225,1.645
323,0.21,1.287,1.707
324,0.21,1.35,1.77
325,0.21,1.475,1.895
326,0.21,1.6,2.02
327,0.21,1.725,2.145
328,0.21,1.85,2.27
329,0.21,1.975,2.395
330,0.21,2.1,2.52
331,0.21,2.225,2.645
332,0.21,2.35,2.77
333,0.21,2.475,2.895
334,0.21,2.6,3.02
335,0.21,2.725,3.145
336,0.21,2.85,3.27
337,0.21,2.975,3.395
338,0.21,3.1,3.52
339,0.21,3.225,3.645
340,0.21,3.35,3.77
341,0.21,3.475,3.895
342,0.21,3.6,4.02
343,0.21,3.725,4.145
344,0.21,3.85,4.27
345,0.21,3.975,4.395
346,0.21,4.1,4.52
347,0.21,4.225,4.645
348,0.21,4.35,4.77
349,0.21,4.475,4.895
350,0.21,4.6,5.02
351,0.21,4.725,5.145
352,0.21,4.85,5.27
353,0.21,4.975,5.395
354,0.21,5.1,5.52
355,0.21,5.225,5.645
356,0.21,5.35,5.77
357,0.21,5.475,5.895
358,0.21,5.6,6.02
359,0.21,5.725,6.145
360,0.21,5.85,6.27
361,0.21,5.975,6.395
362,0.21,6.225,6.645
363,0.21,6.475,6.895
364,0.21,6.725,7.145
365,0.21,6.975,7.395
366,0.21,7.225,7.645
367,0.21,7.475,7.895
368,0.21,7.725,8.145
369,0.21,7.975,8.395
370,0.21,8.225,8.645
371,0.21,8.475,8.895
372,0.21,8.725,9.145
373,0.21,8.975,9.395
374,0.21,9.225,9.645
375,0.21,9.475,9.895
376,0.21,9.725,10.145
377,0.21,9.975,10.395
378,0.21,10.475,10.895
379,0.21,10.975,11.395
380,0.21,11.475,11.895
381,0.21,11.975,12.395
382,0.21,12.975,13.395
383,0.21,13.975,14.395
384,0.21,14.975,15.395
385,0.21,15.955,16.375
386,0.21,16.955,17.375
387,0.21,17.955,18.375
388,0.21,18.955,19.375
389,0.21,19.955,20.375
390,0.21,20.955,21.375
391,0.21,21.955,22.375
392,0.21,22.94,23.36
393,0.21,23.94,24.36
394,0.21,24.94,25.36
395,0.21,25.94,26.36
400,0.275,1.35,1.9
401,0.275,1.475,2.025
402,0.275,1.6,2.15
403,0.275,1.725,2.275
404,0.275,1.85,2.4
405,0.275,1.975,2.525
406,0.275,2.1,2.65
407,0.275,2.225,2.775
408,0.275,2.35,2.9
409,0.275,2.475,3.025
410,0.275,2.6,3.15
411,0.275,2.725,3.275
412,0.275,2.85,3.4
413,0.275,2.975,3.525
414,0.275,3.1,3.65
415,0.275,3.225,3.775
416,0.275,3.35,3.9
417,0.275,3.475,4.025
418,0.275,3.6,4.15
419,0.275,3.725,4.275
420,0.275,3.85,4.4
421,0.275,3.975,4.525
422,0.275,4.1,4.65
423,0.275,4.225,4.775
424,0.275,4.35,4.9
425,0.275,4.475,5.025
426,0.275,4.6,5.15
427,0.275,4.725,5.275
428,0.275,4.85,5.4
429,0.275,4.975,5.525
430,0.275,5.1,5.65
431,0.275,5.225,5.775
432,0.275,5.35,5.9
433,0.275,5.475,6.025
434,0.275,5.6,6.15
435,0.275,5.725,6.275
436,0.275,5.85,6.4
437,0.275,5.975,6.525
438,0.275,6.225,6.775
439,0.275,6.475,7.025
440,0.275,6.725,7.275
441,0.275,6.975,7.525
442,0.275,7.225,7.775
443,0.275,7.475,8.025
444,0.275,7.725,8.275
445,0.275,7.975,8.525
446,0.275,8.475,9.025
447,0.275,8.975,9.525
448,0.275,9.475,10.025
449,0.275,9.975,10.525
450,0.275,10.475,11.025
451,0.275,10.975,11.525
452,0.275,11.475,12.025
453,0.275,11.975,12.525
454,0.275,12.475,13.025
455,0.275,12.975,13.525
456,0.275,13.457,14.007
457,0.275,13.975,14.525
458,0.275,14.475,15.025
459,0.275,14.975,15.525
460,0.275,15.475,16.025
461,0.275,15.955,16.505
462,0.275,16.455,17.005
463,0.275,16.955,17.505
464,0.275,17.455,18.005
465,0.275,17.955,18.505
466,0.275,18.455,19.005
467,0.275,18.955,19.505
468,0.275,19.455,20.005
469,0.275,19.955,20.505
470,0.275,20.955,21.505
471,0.275,21.955,22.505
472,0.275,22.94,23.49
473,0.275,23.94,24.49
474,0.275,24.94,25.49
475,0.275,25.94,26.49
901,0.056,0.185,0.297
902,0.064,0.239,0.367
903,0.064,0.301,0.429
904,0.072,0.351,0.495
905,0.072,0.414,0.558
906,0.078,0.468,0.624
907,0.082,0.53,0.694
908,0.087,0.644,0.818
909,0.097,0.706,0.9
910,0.097,0.755,0.949
911,0.116,0.863,1.095
912,0.116,0.924,1.156
913,0.116,0.986,1.218
914,0.116,1.047,1.279
916,0.116,1.171,1.403
918,0.116,1.355,1.587
920,0.116,1.475,1.707
924,0.116,1.72,1.952
928,0.116,2.09,2.322
932,0.116,2.337,2.569
